Code NAC,Relecture
10,
10A,Exhaustive
10B,Exhaustive
10C,Exhaustive
10Z,Exhaustive
11,
11C,Exhaustive
11F,Exhaustive
11G,Exhaustive
12,
12A,Exhaustive
12B,Exhaustive
12C,Exhaustive
12D,Exhaustive
12Z,Exhaustive
14,
14A,Exhaustive
14B,Exhaustive
14C,Exhaustive
14D,Exhaustive
14E,Exhaustive
14G,Exhaustive
14H,Exhaustive
14I,Exhaustive
14J,Exhaustive
14K,Exhaustive
14L,Exhaustive
14N,Exhaustive
14O,Exhaustive
14P,Exhaustive
14X,Exhaustive
20,
20A,Exhaustive
20B,Exhaustive
20C,Exhaustive
20D,Exhaustive
20E,Exhaustive
20F,Exhaustive
20H,Exhaustive
20I,Exhaustive
20J,Exhaustive
20K,Exhaustive
20X,Exhaustive
21,
21A,Exhaustive
21B,Exhaustive
21C,Exhaustive
21D,Exhaustive
21E,Exhaustive
21G,Exhaustive
21H,Exhaustive
21I,Exhaustive
21J,Exhaustive
21X,Exhaustive
22,
22G,Exhaustive
23,
23A,Exhaustive
23B,Exhaustive
23H,Exhaustive
23I,Exhaustive
23J,Exhaustive
23K,Exhaustive
24,
24G,Exhaustive
24H,Exhaustive
25,
25D,Exhaustive
25F,Exhaustive
25G,Exhaustive
25H,Exhaustive
25I,Exhaustive
26,
26A,Exhaustive
26B,Exhaustive
26C,Exhaustive
26E,Exhaustive
26F,Exhaustive
26G,Exhaustive
26H,Exhaustive
26I,Exhaustive
26J,Exhaustive
26K,Exhaustive
26Y,Exhaustive
26Z,Exhaustive
28,
28A,Exhaustive
28B,Exhaustive
28C,Exhaustive
28D,Exhaustive
28E,Exhaustive
28F,Exhaustive
28G,Exhaustive
28H,Exhaustive
28I,Exhaustive
28Z,Exhaustive
29,
29A,Exhaustive
29B,Exhaustive
29C,Exhaustive
29D,Exhaustive
29E,Exhaustive
29F,Exhaustive
29Z,Exhaustive
2A,
2A1,Exhaustive
2A2,Exhaustive
2A3,Exhaustive
2A4,Exhaustive
2A5,Exhaustive
2AA,Exhaustive
2AB,Exhaustive
2AC,Exhaustive
2AD,Exhaustive
2AE,Exhaustive
2AF,Exhaustive
2AG,Exhaustive
2AH,Exhaustive
2AI,Exhaustive
2AJ,Exhaustive
2AK,Exhaustive
2AM,Exhaustive
2AN,Exhaustive
2AO,Exhaustive
2AP,Exhaustive
2AQ,Exhaustive
2AR,Exhaustive
2AS,Exhaustive
2AT,Exhaustive
2AU,Exhaustive
2AV,Exhaustive
2AZ,Exhaustive
30,
30A,Simple
30B,Simple
30C,Simple
30D,Simple
30E,Simple
30F,Simple
30G,Simple
30H,Simple
30Z,Simple
31,
31A,Simple
31B,Simple
31C,Simple
31D,Simple
31E,Simple
31F,Simple
31G,Simple
31H,Simple
31Z,Simple
32,
32A,Simple
32B,Simple
32C,Simple
32D,Simple
32E,Simple
32F,Simple
32Z,Simple
33,
33A,Simple
33B,Simple
33C,Simple
33D,Simple
33E,Simple
33F,Simple
33G,Simple
33H,Simple
33X,Simple
34,
34A,Simple
34B,Simple
34C,Simple
34D,Simple
34E,Simple
34F,Simple
34G,Simple
34H,Simple
35,
35A,Simple
35B,Simple
35C,Simple
35D,Simple
35E,Simple
35F,Simple
35G,Simple
35H,Simple
35X,Simple
35Z,Simple
36,
36A,Exhaustive
36B,Exhaustive
36C,Exhaustive
36D,Simple
36E,Simple
36F,Exhaustive
36X,Simple
36Z,Simple
38,
38A,Simple
38B,Simple
38C,Exhaustive
38D,Exhaustive
38E,Exhaustive
38F,Exhaustive
38G,Exhaustive
38Z,Simple
39,
39A,Simple
39G,Simple
39H,Simple
39I,Simple
39J,Simple
39K,Simple
39L,Simple
39M,Simple
39X,Simple
39Z,Simple
3A,
3AA,Simple
3AB,Simple
3AC,Simple
3AD,Simple
3AE,Simple
3AF,Simple
3AH,Simple
3AI,Simple
3B,
3BA,Simple
3BB,Simple
3BC,Simple
3BD,Simple
3BE,Simple
3BF,Simple
3BZ,Simple
3C,
3CA,Simple
3CB,Simple
3CC,Simple
3CD,Simple
